Model,Domain,Mean_Acc,Min_Acc,Max_Acc,Configs_100,Mal_Prob,Ben_Prob,Separation
Gemma,Medical,100.0,100.0,100.0,1,0.4999942907015793,2.860878788089335e-06,5.2424655876013535
Gemma,Math,100.0,100.0,100.0,1,0.4999973818194121,1.3129645970647817e-06,5.5807147143285585
Gemma,Finance,100.0,100.0,100.0,1,0.49999455764191225,2.7245117365242957e-06,5.263676594060495
Gemma,Coding,100.0,100.0,100.0,1,0.49999551952350885,2.244611595048117e-06,5.347824910592279
SmolLM,Medical,100.0,100.0,100.0,1,0.4912407349117778,0.004379634406504947,2.049856513475305
SmolLM,Math,100.0,100.0,100.0,1,0.49161267578601836,0.004193662045296757,2.0690296432034336
SmolLM,Finance,100.0,100.0,100.0,1,0.48935951527796295,0.005320243528818705,1.9636965251661689
SmolLM,Coding,100.0,100.0,100.0,1,0.491421690914366,0.004289155509160183,2.0590825294765414
Llama,Medical,96.29629629629629,66.66666666666666,100.0,1,0.48837139935380613,0.005814308839677054,1.924252125750346
Llama,Math,100.0,100.0,100.0,1,0.4999113591155037,4.4322086868538255e-05,4.052272804420831
Llama,Finance,100.0,100.0,100.0,1,0.49999207426742764,3.9609314526679446e-06,5.101165793448542
Llama,Coding,96.29629629629629,66.66666666666666,100.0,1,0.4883391581852249,0.0058304211901039635,1.9230216208535296
Qwen,Medical,95.0,60.0,100.0,1,0.4750032381536727,0.012498382128507183,1.579842771515049
Qwen,Math,92.5,40.0,100.0,1,0.4648263838957064,0.017586805404768303,1.4221038127503742
Qwen,Finance,100.0,100.0,100.0,1,0.4999985362826717,7.354684611795977e-07,5.832404679191282
Qwen,Coding,97.77777777777777,80.0,100.0,1,0.4888857611222101,0.005557123771093512,1.9443573188289895
